#,Season,Name,Team,ERA,FIP,GB%,WAR,xFIP,WPA,K%,BB%,K-BB%,xERA
209,2009,Kenshin Kawakami,ATL,3.97,4.31,43.20%,1.2,4.54,0.32,16.00%,8.60%,7.30%,
210,2009,Koji Uehara,BAL,4.05,3.56,30.20%,1.8,4.42,0.11,17.20%,4.30%,12.90%,
211,2009,Doug Fister,SEA,4.2,5.11,41.40%,0.3,4.42,0.4,13.90%,5.60%,8.40%,
212,2009,Bud Norris,HOU,4.61,4.96,38.50%,0.4,4.36,0.31,21.20%,10.20%,11.00%,
213,2009,Matt Maloney,CIN,4.87,5.41,34.40%,0,4.73,-0.06,16.50%,4.70%,11.80%,
214,2009,Bobby Parnell,NYM,7.93,5.08,47.60%,0.1,4.92,-1.3,17.00%,11.50%,5.50%,
215,2010,Daniel McCutchen,PIT,6.49,6.85,38.40%,-0.7,5.65,-1.2,11.00%,10.50%,0.50%,
216,2010,Iván Nova,NYY,4.91,4.41,52.50%,0.4,4.2,0.23,15.10%,8.80%,6.30%,
217,2010,Barry Enright,ARI,3.91,5.62,35.10%,-0.3,4.96,0.57,12.00%,7.10%,4.90%,
218,2010,Carlos Monasterios,LAD,5.91,6.38,41.80%,-0.7,5.22,-1.27,11.50%,7.90%,3.60%,
219,2010,Jhoulys Chacín,COL,2.98,3.5,47.30%,2.7,3.66,0.88,22.90%,10.60%,12.30%,
220,2010,Brian Matusz,BAL,4.3,4.05,36.20%,2.8,4.31,0.89,18.80%,8.30%,10.50%,
221,2010,Luis Atilano,WSN,5.15,5,40.80%,0.3,5,-0.45,10.40%,8.30%,2.10%,
222,2010,Jake Arrieta,BAL,4.66,4.76,42.20%,0.8,5.17,-0.49,11.60%,10.70%,0.90%,
223,2010,Brad Lincoln,PIT,6.57,5.68,37.50%,-0.3,5.3,-1.37,9.10%,6.10%,3.00%,
224,2010,Jonathon Niese,NYM,4.2,4.1,47.70%,1.9,3.8,-0.76,19.20%,8.10%,11.20%,
225,2010,Sam LeCure,CIN,4.86,5.78,44.00%,-0.2,5.22,-0.26,14.20%,12.90%,1.30%,
226,2010,Mitch Talbot,CLE,4.41,4.48,47.80%,1.4,4.85,-1.37,12.60%,9.90%,2.70%,
227,2010,Alex Sanabia,FLA,3.66,3.53,35.40%,1.3,4.55,0.75,13.90%,5.60%,8.20%,
228,2010,Madison Bumgarner,SFG,3,3.65,45.10%,1.7,3.85,1.07,18.20%,5.50%,12.70%,
229,2010,John Ely,LAD,5.49,4.38,45.80%,0.7,4.09,-1.14,17.70%,9.30%,8.40%,
230,2010,Esmil Rogers,COL,6.34,3.42,53.70%,0.9,3.89,-1.07,16.00%,7.20%,8.80%,
231,2010,Carlos Carrasco,CLE,3.83,4.13,56.80%,0.4,3.42,0.27,20.20%,7.40%,12.80%,
